;;Movement
10001:  1.wav
10002:  2.wav
10003:  3.wav
10004:  4.wav
10005:  5.wav
10006:  6.wav
10007:  7.wav
10008:  8.wav
10009:  9.wav
10010:  10.wav
10011:  11.wav
10012:  12.wav
10013:  13.wav
10014:  14.wav
10015:  15.wav
10016:  16.wav
10017:  17.wav
10018:  18.wav
10019:  19.wav
10020:  20.wav
10021:  21.wav
10022:  22.wav
10023:  23.wav
10024:  24.wav
10025:  25.wav
10026:  26.wav
10027:  27.wav
10028:  28.wav
10029:  29.wav
10030:  30.wav
10031:  31.wav
10032:  32.wav
10048:  M42-2.wav
10049:  game-over2.wav
;;Swing
10050:  50.wav
10051:  51.wav
10052:  52.wav
10053:  53.wav
10054:  54.wav
10055:  55.wav
10056:  56.wav
10057:  57.wav
;;Struck
10060:  60.wav
10061:  61.wav
10062:  62.wav
10063:  63.wav
10064:  64.wav
10065:  65.wav
10070:  70.wav
10071:  71.wav
10072:  72.wav
10073:  73.wav
10080:  80.wav
10081:  81.wav
10082:  82.wav
10083:  83.wav
10091:  91.wav
10092:  92.wav
10100:  100.wav
10101:  101.wav
10102:  102.wav
10103:  103.wav
10104:  104.wav
10105:  105.wav
10106:  106.wav
10107:  107.wav
10108:  108.wav
10109:  109.wav
10110:  110.wav
10111:  111.wav
10112:  112.wav
10113:  113.wav
10114:  114.wav
10115:  115.wav
10116:  116.wav
10117:  117.wav
10118:  118.wav
10125:  125.wav
10126:  126.wav
10130:  M7-1.wav
10131:  M7-2.wav
10132:  M12-1.wav
10133:  M25-1.wav
10134:  M27-L.wav
10135:  M27-R.wav
10136:  M26-1.wav
10137:  M26-3.wav
10138:  138.wav
10139:  139.wav
10140:  M34-1.wav   
10141:  M38-0.wav    
10142:  M38-1.wav
10144:  144.wav
10145:  145.wav
10146:  Log-in-long2.wav
10147:  sellect-loop2.wav
10148:  carol-song03.wav
10149:  carol-song04.wav
10150:  carol-song05.wav
10151:  carol-song06.wav
10152:  carol-song07.wav
10153:  maemi.wav
10154:  love01.wav
10155:  love02.wav
10156:  levelup.wav
10157:  2530-att1.wav
10158:  birthday.wav
10159:  2440-att5.wav
10160:  cherish.wav
10161:  worldcup.wav
10162:  armoreffect.wav
10163:  2780-att2-3.wav
10164:  killerMan-struck.wav
10165:  killerWo-struck.wav
10166:  killerMan-die.wav
10167:  killerWo-die.wav
10168:  killerMan-att3.wav
10169:  killerWo-att3.wav
10170:  killerWeapon-att1.wav
10171:  killerWeapon-att2.wav
10172:  killerWeapon-att3.wav
10173:  killerWeapon-struck1.wav
10174:  killerWeapon-struck2.wav
10175:  killerWeapon-struck3.wav
;;Mounts
10176:  ride_walk_l.wav
10177:  ride_walk_r.wav
10178:  ride_run.wav
10179:  tiger_struck_1.wav
10180:  tiger_struck_2.wav
10181:  tiger_attack_1.wav
10182:  tiger_attack_2.wav
10183:  tiger_attack_3.wav

;;Fishing
10184:	fishing_throw.wav
10185:	fishing_pull.wav
10186:	fishing.wav
10187:  HumUp.wav
;;Mounts
10188:  wolf_ride01.wav
10189:  wolf_ride02.wav
10190:  wolf_attack1.wav
10191:  wolf_attack2.wav
10192:  wolf_attack3.wav
10193:  wolf_struck1.wav
10194:  wolf_struck1.wav
10195:  HeroBothAttack.wav
10196:  Chimera_att5.wav
10197:  Chimera_att5_2.wav
10198:  Chimera_att5_3.wav
10217:  tiger_target_struck.wav
10218:  tiger_ride_1.wav
10219:  tiger_ride_2.wav
;;Pets
10500:  pet_pig.wav
10501:  pet_chick.wav
10502:  pet_kitty.wav
10503:  pet_skeleton.wav
10504:  pet_pigman.wav
10505:  pet_weman.wav
10506:  pet_kitty.wav
10507:  pet_blackdragon.wav
10508:  pet_olympicmascot.wav
10509:  pet_wintersnow.wav
10510:  pet_frog.wav
10511:  pet_monkey.wav
10512:  Pet_hen.wav
10513:  pet_Husky.wav
10514:  pet_rat.wav
10515:  pet_weman.wav
10520:  pet_pickup.wav

;;MON -> 卫士--------MON1-----------OK 
0002:  M91-0.wav
;;MON -> 森林雪人
0011:  210-1.wav
0012:  210-2.wav
0014:  210-4.wav
0015:  210-5.wav
;;MON -> 带刀侍卫 
0022:  M4-0.wav
;;MON -> 卫兵 
0042:  M91-0.wav

;;MON -> 食人花--------MON2-----------OK 
0100:  300-1.wav
0101:  300-1.wav
0102:  300-2.wav
0104:  300-4.wav
0105:  300-5.wav
;;MON -> 南瓜女巫
0122:  M76-0.wav
;;MON -> 大面团
0134:  struck_2.wav
;;MON -> 狼
0141:  900-1.wav
0142:  900-2.wav
0144:  900-4.wav
0145:  900-5.wav
;;MON -> 土狼
0151:  900-1.wav
0152:  900-2.wav
0154:  900-4.wav
0155:  900-5.wav
;;MON -> 牛
0172:  370-2.wav
0174:  370-4.wav
0175:  370-5.wav

;;MON -> Skeleton--------MON3-----------OK
0200:  
0201:  400-1.wav
0202:  400-2.wav
0203:  400-3.wav
0204:  400-4.wav
0205:  400-5.wav

;;MON -> AxeSkeleton
0210:  
0211:  410-1.wav
0212:  410-2.wav
0213:  
0214:  410-4.wav
0215:  410-5.wav

;;MON -> BoneFighter
0220:  
0221:  420-1.wav
0222:  420-2.wav
0223:  
0224:  420-4.wav
0225:  420-5.wav

;;MON -> BoneWarrior
0230:  
0231:  430-1.wav
0232:  430-2.wav
0233:  430-3.wav
0234:  430-4.wav
0235:  430-5.wav

;;MON -> CaveMaggot
0240:  
0241:  440-1.wav
0242:  440-2.wav
0243:  
0244:  440-4.wav
0245:  440-5.wav

;;MON -> HookingCat
0250:  
0251:  450-1.wav
0252:  450-2.wav
0253:  450-3.wav
0254:  450-4.wav
0255:  450-5.wav

;;RakingCat -> RakingCat
0260:  
0261:  460-1.wav
0262:  460-2.wav
0263:  460-3.wav
0264:  460-4.wav
0265:  460-5.wav

;;MON -> Scarecrow
0270:  
0271:  470-1.wav
0272:  470-2.wav
0274:  470-4.wav
0275:  470-5.wav

;;MON -> Dark
0280:  
0281:  480-1.wav
0282:  480-2.wav
0284:  480-4.wav
0285:  480-5.wav

;;MON -> Dung
0290:  
0291:  490-1.wav
0292:  490-2.wav
0294:  490-4.wav
0295:  490-5.wav

;;MON -> WoomaSoldier
0300:  
0301:  500-1.wav
0302:  500-2.wav
0303: 
0304:  500-4.wav
0305:  500-5.wav 

;;MON -> FlamingWooma
0310:  
0311:  510-1.wav
0312:  510-2.wav
0313: 
0314:  510-4.wav
0315:  510-5.wav

;;MON -> WoomaFighter
0320:  
0321:  520-1.wav
0322:  520-2.wav
0323: 
0324:  520-4.wav
0325:  520-5.wav

;;MON -> WoomaWarrior
0330:  
0331:  530-1.wav
0332:  530-2.wav
0333: 
0334:  530-4.wav
0335:  530-5.wav

;;MON -> WoomaTaurus
0340:  
0341:  540-1.wav
0342:  540-2.wav
0343:  540-3.wav
0344:  540-4.wav
0345:  540-5.wav

;;MON -> RedSnake
0360:  
0361:  560-1.wav
0362:  560-2.wav
0333: 
0364:  560-4.wav
0365:  530-5.wav

;;MON -> BoneFamiliar
0370:  M17-3.wav
0371:  
0372:  54.wav
0373:  64.wav
0374:  
0375:  570-5.wav

;;MON -> TigerSnake
0380:  
0381:  580-1.wav
0382:  580-2.wav
0383: 
0384:  580-4.wav
0385:  580-5.wav

;;MON -> WedgeMoth
0390:  
0391:  590-1.wav
0392:  590-2.wav
0393: 
0394:  590-4.wav
0395:  590-5.wav

;;MON -> ShamanZombie
0401:	600-1.wav
0402:	600-2.wav
0404:	600-4.wav
0405:	600-5.wav

;;MON -> BugBatMaggot
0410:  
0411:  610-1.wav
0412:  610-2.wav
0413: 
0414:  610-4.wav
0415:  610-5.wav

;;MON -> BugBat
0420:  
0421:  620-1.wav
0422:  620-2.wav
0423: 
0424:  620-4.wav
0425:  620-5.wav

;;MON -> Sheep
0430:  
0431:  630-1.wav
0432:  630-2.wav
0433: 
0434:  630-4.wav
0435:  630-5.wav

;;MON -> SkyStinger
0440:  
0441:  640-1.wav
0442:  640-2.wav
0443: 
0444:  640-4.wav
0445:  640-5.wav

;;MON -> ShellNipper
0450:  
0451:  650-1.wav
0452:  650-2.wav
0453: 
0454:  650-4.wav
0455:  650-5.wav

;;MON -> BigRat
0460:  
0461:  660-1.wav
0462:  660-2.wav
0463: 
0464:  660-4.wav
0465:  660-5.wav

;;MON -> ZumaArcher
0470:  
0471:  670-1.wav
0472:  670-2.wav
0473:  
0474:  670-4.wav
0475:  670-5.wav

;;MON -> VisceralWorm
0480:  
0481:  680-1.wav
0482:  680-2.wav
0483:  
0484:  680-4.wav
0485:  680-5.wav

;;MON -> SandWorm
0490:  
0491:  690-1.wav
0492:  690-2.wav
0493:  
0494:  690-4.wav
0495:  690-5.wav

;;MON -> DigOutZombie 
0500:	700-0.wav
0501:	700-1.wav
0502:	700-2.wav
0503:	
0504:	700-4.wav
0505:	700-5.wav

;;MON -> ClZombie
0510:	
0511:	710-1.wav
0512:	710-2.wav
0513:	
0514:	710-4.wav
0515:	710-5.wav

;;MON -> NdZombie
0520:	720-0.wav
0521:	720-1.wav
0522:	720-2.wav
0523:	
0524:	720-4.wav
0525:	720-5.wav

;;MON -> CrawlerZombie
0531:	730-1.wav
0532:	730-2.wav
0534:	730-4.wav
0535:	730-5.wav

;;MON -> DarkDevourer
0547:   747-attack2.wav

;;MON -> PoisonHugger
0551:  751.wav
0552:  752.wav
0554:  754.wav
0555:  755.wav
0557:  757-foot-r.wav
0558:  758-foot-l.wav
0559:  759-move.wav

;;MON -> Hugger
0561:  761.wav
0562:  762.wav
0564:  764.wav
0565:  765.wav
0566:  766-effect2.wav
0567:  767-effect3.wav
0568:  768-effect4.wav
0569:  769-effect5.wav

;;MON -> Behemoth 怨恶
0570:	
0571:	771.wav
0572:	772.wav
0573:	
0574:	774.wav
0575:	775.wav
0576:	776-attack2.wav
0577:	777-attack3.wav
0578:	778-attack4.wav
0579:	779-attack5.wav

;;MON -> ZumaStatue
0611:  810-1.wav
0612:  810-2.wav
0614:  810-4.wav
0615:  810-5.wav

;;MON -> ZumaGuardian
0621:  820-1.wav
0622:  820-2.wav
0624:  820-4.wav
0625:  820-5.wav

;;MON -> ZumaTaurus
0630:  830-0.wav
0631:  830-1.wav
0632:  830-2.wav
0633:  830-3.wav
0634:  830-4.wav
0635:  830-5.wav

;;MON -> GreyWolf
0701:  900-1.wav
0702:  900-2.wav
0704:  900-4.wav
0705:  900-5.wav

;;MON -> ArcherGuard
0710:  
0711:  
0712:  
0713:  2150-3.wav
0714:  
0715:  wlidwoodwork_die.wav

;;MON -> KatanaGuard
0720:
0721:
0722:
0723:
0724:
0725:

;;MON -> Centipede
0731:  930-1.wav
0732:  930-2.wav
0734:  930-4.wav
0735:  930-5.wav

;;MON -> BlackMaggot
0740:  940-0.wav
0741:  940-1.wav
0742:  940-2.wav
0744:  940-4.wav
0745:  940-5.wav

;;MON -> CaveBat
0802:  1000-2.wav
0805:  1000-5.wav
0806:  1000-6.wav

;;MON -> WhimperingBee
0811:  1010-1.wav
0812:  1010-2.wav
0815:  1010-5.wav

;;MON -> GiantWorm
