"Schema版本","规则ID","优先级","所有者","匹配边界","允许脚本发布","未匹配行为","测试编号","最后复核日期"
"1","LFENV09-INVALID-PATH","10","未归属","空路径、绝对路径、点段或越界路径","否","阻断候选","LFENV09-CLASSIFIER","2026-08-16"
"1","LFENV09-BACKUP","20","备份归档","临时锁文件、明确副本/备份后缀及 bak/zip/rar/7z/wn/bf 扩展名","否","只保留、不加载","LFENV09-CLASSIFIER","2026-08-16"
"1","LFENV09-RUNTIME","30","运行数据","UserData/Market_Saved/Market_Storage/Market_SellOff 或 prc/sav/dat/sell/gold/db/915031","否","只保留、不覆盖","LFENV09-CLASSIFIER","2026-08-16"
"1","LFENV09-RUNTIME-RECORD","31","运行数据","脚本目录内名为 .txt 的运行记录文件","否","只保留、不覆盖","LFENV09-CLASSIFIER","2026-08-16"
"1","LFENV09-EXECUTABLE","40","可执行工件","bat/cmd/ps1/exe/dll/com/msi 扩展名","否","拒绝执行、不加载","LFENV09-CLASSIFIER","2026-08-16"
"1","LFENV09-DOCUMENTATION","50","文档附件","htm/html/xlsx/xls/doc/docx/pdf 扩展名","否","只保留、不加载","LFENV09-CLASSIFIER","2026-08-16"
"1","LFENV09-CLIENT-CONTRACT","60","客户端契约","MonIcons/NpcIcons 目录","否","等待客户端资源清单阶段处理","LFENV09-CLASSIFIER","2026-08-16"
"1","LFENV09-SCRIPT","70","脚本","Market_Def/Npc_def/QuestDiary/DeFines 的合法 TXT、QFunction-0 及 QManage/RobotManage 系统入口","是","映射为唯一逻辑 Key","LFENV09-CLASSIFIER","2026-08-16"
"1","LFENV09-INVALID-SCRIPT-KEY","71","未归属","脚本命名空间内不能形成合法逻辑 Key 的 TXT","否","阻断候选","LFENV09-CLASSIFIER","2026-08-16"
"1","LFENV09-DOMAIN-CONFIG","80","领域配置","其余 txt/ini/csv/upg 文件","否","由后续领域 Provider 接管","LFENV09-CLASSIFIER","2026-08-16"
"1","LFENV09-UNASSIGNED","90","未归属","不符合任何已登记规则的文件","否","阻断候选","LFENV09-CLASSIFIER","2026-08-16"
