"Schema版本","根ID","来源根","相对路径","显示名称","版本家族","角色","文件数","TXT数","INI数","其他数","总字节","清单SHA256","内容SHA256","精确重复","代表样本","画像日期","编码摘要","UTF8文本数","UTF8BOM数","UTF16文本数","CP936候选数","二进制文本数"
"1","LFENV-ROOT-0001","D:/ChuanQi/服务端","01酷明\MirServer_01区\Mir200\Envir","01酷明/Envir","01酷明","完整版本","1777","1313","446","18","12614407","5457A383E11A0132E1FDB5FAFFA4678AAF5CC4E8CFB63BF408D4C9FC8CB88D23","6559349EE7A787F771175D625E139C18B20415A6B914EA651A466BCA901F4CEF","否","是","2026-08-16","UTF8=325;UTF8BOM=78;UTF16=0;CP936候选=1356;二进制文本=0","325","78","0","1356","0"
"1","LFENV-ROOT-0002","D:/ChuanQi/服务端","01酷明传奇\MirServer_01\Mir200\Envir","01酷明传奇/Envir","01酷明传奇","完整版本","2370","1852","496","22","14290728","348B4A80D9F17C5198D1D1554D5CC5ED718655712BBBCA7C85C7A37D2387338A","F32F2CC173C83367904902C31CC0E4935D23648AE921D91DBD3AE0B8FAF9BC8E","否","是","2026-08-16","UTF8=556;UTF8BOM=0;UTF16=0;CP936候选=1792;二进制文本=0","556","0","0","1792","0"
"1","LFENV-ROOT-0003","D:/ChuanQi/服务端","01酷明传奇1\MirServer\Mir200\Envir","01酷明传奇1/Envir","01酷明传奇1","完整版本","411","254","147","10","6795090","E65B88767AA98BFCA50A8C1A0A4662F255E03DE0AD71F417BF1372269BCAB281","E48F0B23A25034A33B0ED29139F1C9401902AF874017C2F422685851B140CDC6","否","是","2026-08-16","UTF8=74;UTF8BOM=0;UTF16=0;CP936候选=327;二进制文本=0","74","0","0","327","0"
"1","LFENV-ROOT-0004","D:/ChuanQi/服务端","01酷明传奇1\tianfu\MirServer\Mir200\Envir","01酷明传奇1/Envir","01酷明传奇1","完整版本","6","6","0","0","96826","5D7E9E80C7E39398A6F6F672FD6C18A9278A15F322D96495C2945CB902DF45C5","EED94DE56719EBBE22CE514215983D10DAF126034774DBD06BF1E553DCAAF167","否","否","2026-08-16","UTF8=6;UTF8BOM=0;UTF16=0;CP936候选=0;二进制文本=0","6","0","0","0","0"
"1","LFENV-ROOT-0005","D:/ChuanQi/服务端","01酷明传奇2\01酷明传奇2\MirServer_01\Mir200\Envir","01酷明传奇2/Envir","01酷明传奇2","完整版本","1903","1262","490","151","47887305","8F151C658F39287C4D851DE7276756E4D4766621CC69C0ED4BA2540DF0284EBA","75B7F667C9CA9824EA7B5AFEBE9C87AA7967F0620C509E018C9017AC9BB4C9DA","否","是","2026-08-16","UTF8=468;UTF8BOM=122;UTF16=0;CP936候选=1162;二进制文本=0","468","122","0","1162","0"
"1","LFENV-ROOT-0006","D:/ChuanQi/服务端","02游子传奇\MirServer_01\Mir200\Envir","02游子传奇/Envir","02游子传奇","完整版本","1647","1018","483","146","47280016","225916952E8FD5FF3EA1B78F2AB6D6372C2104821BB36F2C49CCAB6F3D609033","24CBDCF30E57BC8D8C44E8F8686767022B0AD8E9500015D1FEDEC2CADC512367","否","是","2026-08-16","UTF8=436;UTF8BOM=116;UTF16=0;CP936候选=949;二进制文本=0","436","116","0","949","0"
"1","LFENV-ROOT-0007","D:/ChuanQi/服务端","03月光沉默\MirServer\Mir200\Envir","03月光沉默/Envir","03月光沉默","完整版本","1277","885","215","177","148399060","41E8DD841701C57D52E22E205B4D19275D23566D1DB3D01A5241F475DA6ACD2A","A26B9ED79F096F964D1A89CE2E689F4973EB1F0FE136DAB2271AE9917E9738C4","否","是","2026-08-16","UTF8=265;UTF8BOM=0;UTF16=0;CP936候选=835;二进制文本=0","265","0","0","835","0"
"1","LFENV-ROOT-0008","D:/ChuanQi/服务端","暴雪\Mirserver\Mir200\Envir","暴雪/Envir","暴雪","完整版本","2770","2469","296","5","15533951","B6315088BCBF29E2A01F10B79B3B5513CC188F07FF4B708DBEA8D8354E6D5E64","244BA011726A71C49D1F92487900736976576233948AAAB4EB5DF3BF7C7CBA5E","否","是","2026-08-16","UTF8=1081;UTF8BOM=19;UTF16=0;CP936候选=1665;二进制文本=0","1081","19","0","1665","0"
"1","LFENV-ROOT-0009","D:/ChuanQi/服务端","北荒\通区充值\Mir200\Envir","北荒/Envir","北荒","覆盖包","144","144","0","0","26883","8C736ECD3B3E30E2D305704BB819E675DDC0E3AC772147CE5E51E09816FC2B90","E4718B53C0750152A51CFABADC5D588264B27EAAFAD64EFD87D5491BBF47C74F","否","否","2026-08-16","UTF8=140;UTF8BOM=0;UTF16=0;CP936候选=4;二进制文本=0","140","0","0","4","0"
"1","LFENV-ROOT-0010","D:/ChuanQi/服务端","北荒\MirServer\开区覆盖\Mir200\Envir","北荒/Envir","北荒","覆盖包","15","13","2","0","177628","7618B5CD410598908A656D6150F8B22DE567B43B5ABE53FE2F76BB03E9E1A990","669055649B5616C6279666A0AB47C3AB61C84FE0B8498C4D00CCC32CA4009EE5","否","否","2026-08-16","UTF8=10;UTF8BOM=0;UTF16=0;CP936候选=5;二进制文本=0","10","0","0","5","0"
"1","LFENV-ROOT-0011","D:/ChuanQi/服务端","北荒\MirServer\Mir200\Envir","北荒/Envir","北荒","完整版本","3667","2882","774","11","22800374","5414B286E987189B71B2F43AF4FD9758354FA17F6C3DC66EE82BD472561AE86A","F95603CE9107C5A2ED93FB595CDFC2C1534B0B20E66D5979C540C715464157E1","否","是","2026-08-16","UTF8=1960;UTF8BOM=4;UTF16=0;CP936候选=1692;二进制文本=0","1960","4","0","1692","0"
"1","LFENV-ROOT-0012","D:/ChuanQi/服务端","风隐\Mirserver风隐诀\Mir200\Envir","风隐/Envir","风隐","完整版本","3512","2482","1002","28","31428072","DF78872088735D951600C70AA97FDF91C89F2D98F1F887BAA60AD2C41A157467","D0925FDD46AAF843AD05649087F96029306BDEB7512C55F19DEBED844448DF70","否","是","2026-08-16","UTF8=1090;UTF8BOM=1;UTF16=0;CP936候选=2393;二进制文本=0","1090","1","0","2393","0"
