来源面,类别,符号,使用次数,涉及文件数,示例文件
结构化C#,对话API,SAY,6014,350,CSharpScripts/NPCs/00Default/UseItemPositioningScrollPages.cs；CSharpScripts/NPCs/00Default/UseItemPremiumPassPages.cs；CSharpScripts/NPCs/00Default/UseItemServerTestScrollPages.cs
结构化C#,对话API,CLOSE,457,264,CSharpScripts/NPCs/比奇省/半兽古墓/远古神石D003.cs；CSharpScripts/NPCs/比奇省/比奇城/比奇城主0122.cs；CSharpScripts/NPCs/比奇省/比奇城/比奇防具0106.cs
结构化C#,对话API,GOTO,287,213,CSharpScripts/NPCs/00Default/UseItemPositioningScrollPages.cs；CSharpScripts/NPCs/00Default/UseItemServerTestScrollPages.cs；CSharpScripts/NPCs/比奇省/比奇城/比奇城主0122.cs
结构化C#,对话API,ALLOW,10,3,CSharpScripts/NPCs/比奇省/比奇城/任务活动.cs；CSharpScripts/NPCs/比奇省/比奇城/远古使者0.cs；CSharpScripts/NPCs/游戏活动/满月颓废君.cs
结构化C#,对话API,BUTTON,7,4,CSharpScripts/NPCs/比奇省/比奇城/公告牌0.cs；CSharpScripts/NPCs/毒蛇山谷/任务特殊/神秘人E603.cs；CSharpScripts/NPCs/雪白县/雪人洞窟/雪洞石柱.cs
结构化C#,领域注册,DROPS,1398,1398,CSharpScripts/Drops/00Awakening.cs；CSharpScripts/Drops/00Blackstone.cs；CSharpScripts/Drops/00Fishing.cs
结构化C#,领域注册,QUESTS,178,178,CSharpScripts/Quests/10.cs；CSharpScripts/Quests/100.cs；CSharpScripts/Quests/101.cs
结构化C#,领域注册,TEXTFILES,121,121,CSharpScripts/Events/0-Event-40.cs；CSharpScripts/Events/Event/Event41.cs；CSharpScripts/Events/gumi203-Event-41.cs
结构化C#,领域注册,RECIPES,118,118,CSharpScripts/Recipe/白骨甲(男).cs；CSharpScripts/Recipe/白骨头巾.cs；CSharpScripts/Recipe/白骨衣(女).cs
结构化C#,领域注册,ROUTES,25,25,CSharpScripts/Routes/比奇省/G-260196.cs；CSharpScripts/Routes/比奇省/G-261329.cs；CSharpScripts/Routes/比奇省/G-266190.cs
结构化C#,领域注册,VALUES,6,6,CSharpScripts/Values/定位符咒.cs；CSharpScripts/Values/ApPoint.cs；CSharpScripts/Values/Gems.cs
结构化C#,领域注册,NAMELISTS,2,2,CSharpScripts/NameLists/新人公会列表.cs；CSharpScripts/NameLists/行会列表.cs
结构化C#,领域API,TELEPORT,166,99,CSharpScripts/NPCs/00Default/UseItemPositioningScrollPages.cs；CSharpScripts/NPCs/00Default/UseItemServerTestScrollPages.cs；CSharpScripts/NPCs/00Default/UseItemTeleportScrollPages.cs
结构化C#,领域API,HINT,164,18,CSharpScripts/NPCs/00Default/UseItemPositioningScrollPages.cs；CSharpScripts/NPCs/00Monster/MonsterHooks.cs；CSharpScripts/NPCs/比奇省/比奇城/任务活动.cs
结构化C#,领域API,GIVEITEM,153,16,CSharpScripts/NPCs/00Default/UseItemPositioningScrollPages.cs；CSharpScripts/NPCs/00Default/UseItemServerTestScrollPages.cs；CSharpScripts/NPCs/比奇省/比奇城/游戏向导0.cs
结构化C#,领域API,OPENNPCBUYBACKPANEL,104,104,CSharpScripts/NPCs/比奇省/半兽古墓/奸商崔氏DM001.cs；CSharpScripts/NPCs/比奇省/比奇城/比奇防具0106.cs；CSharpScripts/NPCs/比奇省/比奇城/比奇药店0108.cs
结构化C#,领域API,OPENNPCBUYSELLPANEL,97,97,CSharpScripts/NPCs/比奇省/半兽古墓/奸商崔氏DM001.cs；CSharpScripts/NPCs/比奇省/比奇城/比奇防具0106.cs；CSharpScripts/NPCs/比奇省/比奇城/比奇药店0108.cs
结构化C#,领域API,OPENNPCREPAIRPANEL,77,69,CSharpScripts/NPCs/比奇省/半兽古墓/奸商崔氏DM001.cs；CSharpScripts/NPCs/比奇省/比奇城/比奇防具0106.cs；CSharpScripts/NPCs/比奇省/比奇城/首饰戒指0105.cs
