ID,类别,翎风名称,别名,语法签名,脚本入口,对象上下文,当前实现位置,兼容状态,已知差异,客户端依赖,数据依赖,真实语料使用次数,测试编号,说明书页面,负责人,最后复核日期,来源分类,来源相对页,说明书版本
LF-TOPIC-0001,根主题,官方主页,,,,,,?,待逐页核对正文,待核对,待核对,0,,,未分配,,,官方主页.htm,LFM2-2026-08-15-snapshot
LF-TOPIC-0002,根主题,翎风引擎历史更新记录,,,,,,?,待逐页核对正文,待核对,待核对,0,,,未分配,,,UpDate.htm,LFM2-2026-08-15-snapshot
LF-TOPIC-0003,根主题,新怪物数据[!],,,,,,?,待逐页核对正文,待核对,待核对,0,,,未分配,,,新怪物数据[!].htm,LFM2-2026-08-15-snapshot
LF-TOPIC-0004,根主题,颜色值列表,,,,,,?,待逐页核对正文,待核对,待核对,0,,,未分配,,,256色值.htm,LFM2-2026-08-15-snapshot
LF-TOPIC-0005,根主题,游戏速度延时调整解说,,,,,,?,待逐页核对正文,待核对,待核对,0,,,未分配,,,延时解说/游戏速度延时调整.HTML,LFM2-2026-08-15-snapshot
LF-TOPIC-0006,根主题,NPC代码,,,,,,?,待逐页核对正文,待核对,待核对,0,,,未分配,,,NPC.htm,LFM2-2026-08-15-snapshot
LF-TOPIC-0007,示例,53类宝石(封印)介绍[!],,,,,,?,待逐页核对正文,待核对,待核对,0,,,未分配,,游戏引擎反外挂系统/部分脚本实例,游戏引擎反外挂系统/部分脚本实例/53类宝石描述.htm,LFM2-2026-08-15-snapshot
LF-TOPIC-0008,示例,百分比检测.htm,,,,,,?,待逐页核对正文,待核对,待核对,0,,,未分配,,游戏引擎反外挂系统/部分脚本实例,游戏引擎反外挂系统/部分脚本实例/百分比检测.htm,LFM2-2026-08-15-snapshot
LF-TOPIC-0009,示例,变量支持数字单位,,,,,,?,待逐页核对正文,待核对,待核对,0,,,未分配,,游戏引擎反外挂系统/部分脚本实例,游戏引擎反外挂系统/部分脚本实例/变量显示数字单位.htm,LFM2-2026-08-15-snapshot
LF-TOPIC-0010,示例,创建副将英雄脚本,,,,,,?,待逐页核对正文,待核对,待核对,0,,,未分配,,游戏引擎反外挂系统/部分脚本实例,游戏引擎反外挂系统/部分脚本实例/创建副将英雄脚本.html,LFM2-2026-08-15-snapshot
LF-TOPIC-0011,示例,创建行会脚本.htm,,,,,,?,待逐页核对正文,待核对,待核对,0,,,未分配,,游戏引擎反外挂系统/部分脚本实例,游戏引擎反外挂系统/部分脚本实例/创建行会脚本.htm,LFM2-2026-08-15-snapshot
LF-TOPIC-0012,示例,创建主将英雄脚本,,,,,,?,待逐页核对正文,待核对,待核对,0,,,未分配,,游戏引擎反外挂系统/部分脚本实例,游戏引擎反外挂系统/部分脚本实例/创建主将英雄脚本.htm,LFM2-2026-08-15-snapshot
LF-TOPIC-0013,示例,达到多少人在线不允许离线挂机脚本,,,,,,?,待逐页核对正文,待核对,待核对,0,,,未分配,,游戏引擎反外挂系统/部分脚本实例,游戏引擎反外挂系统/部分脚本实例/达到多少人在线不允许离线挂机脚本.htm,LFM2-2026-08-15-snapshot
LF-TOPIC-0014,示例,打开个人店铺（摆摊）,,,,,,?,待逐页核对正文,待核对,待核对,0,,,未分配,,游戏引擎反外挂系统/部分脚本实例,游戏引擎反外挂系统/部分脚本实例/打开个人店铺脚本命令.htm,LFM2-2026-08-15-snapshot
LF-TOPIC-0015,示例,大退游戏命令,,,,,,?,待逐页核对正文,待核对,待核对,0,,,未分配,,游戏引擎反外挂系统/部分脚本实例,游戏引擎反外挂系统/部分脚本实例/大退游戏命令.htm,LFM2-2026-08-15-snapshot
LF-TOPIC-0016,示例,当前目标变量取值操作[!],,,,,,?,待逐页核对正文,待核对,待核对,0,,,未分配,,游戏引擎反外挂系统/部分脚本实例,游戏引擎反外挂系统/部分脚本实例/当前目标变量取值操作%20.htm,LFM2-2026-08-15-snapshot
LF-TOPIC-0017,示例,登录游戏时的聊天框最上方显示公告,,,,,,?,待逐页核对正文,待核对,待核对,0,,,未分配,,游戏引擎反外挂系统/部分脚本实例,游戏引擎反外挂系统/部分脚本实例/登录游戏时的聊天框最上方显示公告.htm,LFM2-2026-08-15-snapshot
